,fold,origin,horizon,family,MASE,MAE,RMSE,BIC,LB_min,order,seasonal_order,trend,seasonal,seasonal_periods,season_length,decomposition_type
17,1,2024-07-16,42,SARIMAX,1.8492173621983807,23.51147789080798,26.828605079205627,1537.6736743081144,0.6885541835795949,"(2, 1, 1)","(0, 0, 0, 7)",n,,,,
18,1,2024-07-16,42,SARIMAX,1.8622241624157208,23.676850064999876,26.99328945134678,1535.2286028452443,0.5414181514604227,"(2, 1, 2)","(0, 0, 0, 14)",n,,,,
19,1,2024-07-16,42,SARIMAX,1.8622241624157208,23.676850064999876,26.99328945134678,1535.2286028452443,0.5414181514604227,"(2, 1, 2)","(0, 0, 0, 7)",n,,,,
20,1,2024-07-16,42,SARIMAX,0.8596263976335174,10.92953562705472,13.646193257765757,1530.3434246050322,0.7117916532334541,"(0, 1, 1)","(0, 0, 0, 14)",t,,,,
21,1,2024-07-16,42,SARIMAX,0.8596263976335174,10.92953562705472,13.646193257765757,1530.3434246050322,0.7117916532334541,"(0, 1, 1)","(0, 0, 0, 7)",t,,,,
22,1,2024-07-16,42,SARIMAX,0.8536758144416577,10.85387821218679,13.550701258670165,1528.2013342749146,0.7648295380359155,"(0, 1, 2)","(0, 0, 0, 14)",t,,,,
23,1,2024-07-16,42,SARIMAX,0.8536758144416577,10.85387821218679,13.550701258670165,1528.2013342749146,0.7648295380359155,"(0, 1, 2)","(0, 0, 0, 7)",t,,,,
24,1,2024-07-16,42,SARIMAX,1.8494807735964136,23.51482697858297,29.136446692263085,1725.8018658723556,0.17615816033007087,"(1, 0, 1)","(0, 0, 0, 14)",t,,,,
25,1,2024-07-16,42,SARIMAX,1.8494807735964136,23.51482697858297,29.136446692263085,1725.8018658723556,0.17615816033007087,"(1, 0, 1)","(0, 0, 0, 7)",t,,,,
26,1,2024-07-16,42,SARIMAX,1.6354513780934152,20.793596092901993,25.976424888970627,1769.9790100785406,0.24984956530283847,"(1, 0, 2)","(0, 0, 0, 14)",t,,,,
27,1,2024-07-16,42,SARIMAX,1.6354513780934152,20.793596092901993,25.976424888970627,1769.9790100785406,0.24984956530283847,"(1, 0, 2)","(0, 0, 0, 7)",t,,,,
28,1,2024-07-16,42,SARIMAX,0.8619514821171572,10.95909741548957,13.678920863398004,1535.5981955010798,0.7154676589214015,"(1, 1, 1)","(0, 0, 0, 14)",t,,,,
29,1,2024-07-16,42,SARIMAX,0.8619514821171572,10.95909741548957,13.678920863398004,1535.5981955010798,0.7154676589214015,"(1, 1, 1)","(0, 0, 0, 7)",t,,,,
30,1,2024-07-16,42,SARIMAX,0.8521623683969007,10.834635826760595,13.545675089668105,1533.3617700545676,0.768612912360821,"(1, 1, 2)","(0, 0, 0, 14)",t,,,,
31,1,2024-07-16,42,SARIMAX,0.8521623683969007,10.834635826760595,13.545675089668105,1533.3617700545676,0.768612912360821,"(1, 1, 2)","(0, 0, 0, 7)",t,,,,
32,1,2024-07-16,42,SARIMAX,1.7891434333378644,22.747680795295704,25.55219533332995,1594.8360270134729,0.08444803192731197,"(2, 0, 0)","(0, 0, 0, 14)",t,,,,
33,1,2024-07-16,42,SARIMAX,1.7891434333378644,22.747680795295704,25.55219533332995,1594.8360270134729,0.08444803192731197,"(2, 0, 0)","(0, 0, 0, 7)",t,,,,
34,1,2024-07-16,42,SARIMAX,1.624246280313083,20.65113127826634,26.503769256316716,1686.2787898985023,0.05844009737628942,"(2, 0, 1)","(0, 0, 0, 14)",t,,,,
35,1,2024-07-16,42,SARIMAX,1.624246280313083,20.65113127826634,26.503769256316716,1686.2787898985023,0.05844009737628942,"(2, 0, 1)","(0, 0, 0, 7)",t,,,,
36,1,2024-07-16,42,SARIMAX,5.755364637637448,73.17535039281897,80.625128331245,2199.2702135272766,0.27948586305314077,"(2, 0, 2)","(0, 0, 0, 14)",t,,,,
37,1,2024-07-16,42,SARIMAX,5.755364637637448,73.17535039281897,80.625128331245,2199.2702135272766,0.27948586305314077,"(2, 0, 2)","(0, 0, 0, 7)",t,,,,
